id,Time,Source,Destination,Sport,Dport,Protocal
397,Sun May 30 10:29:05 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
398,Sun May 30 10:29:05 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
399,Sun May 30 10:29:05 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
400,Sun May 30 10:29:05 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
401,Sun May 30 10:29:05 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
402,Sun May 30 10:29:05 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
403,Sun May 30 10:29:05 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
404,Sun May 30 10:29:05 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
405,Sun May 30 10:29:05 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
406,Sun May 30 10:29:09 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
407,Sun May 30 10:32:20 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59199,80,TCP
408,Sun May 30 10:32:20 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59199,TCP
409,Sun May 30 10:32:20 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59199,80,TCP
410,Sun May 30 10:32:28 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
411,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59191,80,TCP
412,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59189,80,TCP
413,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59190,80,TCP
414,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59190,80,TCP
415,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59191,80,TCP
416,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59189,80,TCP
417,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59191,80,TCP
418,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59189,80,TCP
419,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59190,80,TCP
420,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59190,80,TCP
421,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59189,80,TCP
422,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59191,80,TCP
423,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59191,80,TCP
424,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59189,80,TCP
425,Sun May 30 10:32:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59190,80,TCP
426,Sun May 30 10:32:37 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
427,Sun May 30 10:32:37 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59191,80,TCP
428,Sun May 30 10:32:37 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59189,80,TCP
429,Sun May 30 10:32:37 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59190,80,TCP
430,Sun May 30 10:32:37 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,27018,51109,UDP
431,Sun May 30 10:32:43 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,51530,TCP
432,Sun May 30 10:32:43 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51530,80,TCP
433,Sun May 30 10:32:44 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,51530,TCP
434,Sun May 30 10:32:44 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51530,80,TCP
435,Sun May 30 10:32:44 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51530,80,TCP
436,Sun May 30 10:32:44 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51530,80,TCP
437,Sun May 30 10:32:44 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,51530,TCP
438,Sun May 30 10:32:46 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
439,Sun May 30 10:32:47 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59190,80,TCP
440,Sun May 30 10:32:47 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59189,80,TCP
441,Sun May 30 10:32:47 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59191,80,TCP
